카테고리,goods_no,brand,name,price_org,price_cur,score,review_count,tags,link,img_url
비타민,A000000247861,씨제이웰케어,[6월 올영픽/골라담기] CJ웰케어 건강루틴 가격혁명 10종 택 1,6900.0,5900,4.8,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000247861,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024786104ko.jpg?l=ko
비타민,A000000193086,오쏘몰,오쏘몰 이뮨 멀티비타민&미네랄 14입 단품/기획,75000.0,55900,4.9,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000193086,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019308648ko.jpg?l=ko
비타민,A000000199174,오쏘몰,오쏘몰 바이탈 M/F 멀티비타민&미네랄 7입 (남성/여성),44000.0,29900,4.9,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199174,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019917425ko.jpg?l=ko
비타민,A000000245722,젠제네틱스,[설인아 PICK] 젠제네틱스 포타슘 칼륨 525mg 다이렉트 20포 (10일분),34900.0,20900,4.9,111,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000245722,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024572208ko.png?l=ko
비타민,A000000248541,센트룸,센트룸 멀티비타민 50정 4종 택1,27000.0,24000,4.9,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000248541,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024854104ko.jpg?l=ko
비타민,A000000002944,고려은단,고려은단 비타민C1000 120정 (4개월분),15000.0,12900,4.9,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000002944,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0000/A00000000294410ko.jpg?l=ko
비타민,A000000198827,오쏘몰,"오쏘몰 바이탈 M/F 멀티비타민&미네랄 30일분 (M:남성,F:여성)",149000.0,105000,4.9,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198827,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019882703ko.jpg?l=ko
비타민,B000000204027,GNM자연의품격,GNM 올인원 솔루션 멀티팩 1박스(1개월분),44900.0,41900,4.9,55,쿠폰,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000204027,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/B00000020402713ko.jpg?l=ko
비타민,A000000245874,올더베러,올더베러 웰니스 구미 30일분 6종 택1,,14900,4.8,999+,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000245874,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024587408ko.jpg?l=ko
비타민,A000000224309,아임비타,아임비타 멀티비타민 아르기닌샷 1포,,3500,4.9,999+,"1+1, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224309,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022430903ko.jpg?l=ko
