플랫폼,브랜드,상품명,카테고리,가격,할인율,평점,리뷰수,로켓배송여부,상품URL,수집일
쿠팡,리본핏,"리본핏 덴마크 프리미엄 구강유산균, 30정, 1개",유산균,9900,60%,4.5,4208,Y,https://www.coupang.com/vp/products/8761147744?itemId=25515605344&vendorItemId=92507534046&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,초저분자,"초저분자 피쉬콜라겐 펩타이드 비오틴 100% HACCP인증, 1개, 120정",콜라겐,9900,88%,5.0,4979,Y,https://www.coupang.com/vp/products/8664828475?itemId=25151260578&vendorItemId=93338965706&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,고려은단,"고려은단 비타민C 1000 + 쇼핑백, 180정, 1개",비타민C,17150,0%,5.0,287796,Y,https://www.coupang.com/vp/products/9334963084?itemId=16777795279&vendorItemId=3000235591&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,메가도스,"메가도스 비타민C 3000mg, 180g, 1개",비타민C,17900,0%,5.0,64496,Y,https://www.coupang.com/vp/products/46208003?itemId=18240724003&vendorItemId=85387691552&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,세노비스,"세노비스 정품 마그네슘, 90정, 1개",마그네슘,15830,43%,5.0,34420,Y,https://www.coupang.com/vp/products/7792384678?itemId=21084993184&vendorItemId=3350139303&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,BYO,"BYO 코어 피부면역 유산균 30p, 60g, 1개",유산균,11850,14%,5.0,5560,Y,https://www.coupang.com/vp/products/7154187085?itemId=22335225018&vendorItemId=85101744290&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,구트할로,"구트할로 비타민C 500, 20정, 3개",비타민C,12600,0%,5.0,12964,Y,https://www.coupang.com/vp/products/6155420054?itemId=19239199829&vendorItemId=92552412990&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,Jarrow Formulas,"[Jarrow Formulas] 자로우 포뮬러스 도피러스 EPS 유산균 100억 CFU, 120정, 1개",유산균,33630,25%,5.0,52627,Y,https://www.coupang.com/vp/products/7626263931?itemId=18376283146&vendorItemId=3179568952&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,크리스찬한센,"크리스찬한센 덴마크 유산균 이야기, 30정, 1개",유산균,14200,72%,5.0,62826,Y,https://www.coupang.com/vp/products/6063894601?itemId=19441573413&vendorItemId=81816610559&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,베베모린,"베베모린 뽀롱뽀롱 뽀로로 복숭아맛 비타민C, 50정, 3개",비타민C,6300,0%,5.0,14657,Y,https://www.coupang.com/vp/products/5592286985?itemId=18786639684&vendorItemId=93374676884&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,아임비타,"아임비타 종근당건강 멀티비타민 이뮨샷 7 164.36g, 7회분, 1개",멀티비타민/종합비타민/멀티미네랄,13450,35%,5.0,9280,Y,https://www.coupang.com/vp/products/7163887733?itemId=20150959899&vendorItemId=93435461812&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,덴프스,"덴프스 정품 덴마크 유산균이야기, 30정, 2개",유산균,27240,73%,5.0,62826,Y,https://www.coupang.com/vp/products/6063894601?itemId=18741626520&vendorItemId=85873889893&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,재로우,"재로우 우먼스 펨 도피러스 유산균 캡슐, 60정, 1개",유산균,31220,23%,5.0,10732,Y,https://www.coupang.com/vp/products/6960887991?itemId=18566924182&vendorItemId=5118205758&sourceType=CATEGORY&categoryId=305698,2026-06-24
